phon_cmu,phon_ipa
K,k
P,p
T,t
S,s
NG,ŋ
V,v
F,f
D,d
TH,θ
B,b
SH,ʃ
JH,dʒ
G,ɡ
R,ɹ
N,n
Z,z
M,m
HH,h
ZH,ʒ
DH,ð
CH,tʃ
Y,j
L,l
W,w
UH,ʊ
EH,ɛ
AH0,ə
IY,iː
AO,ɔ
IH,ɪ
AY,aɪ
AA,ɑ
AO,ɔ
AE,æ
OW,oʊ
AH,ʌ
EY,eɪ
IY AH0,iə
AW,aʊ
AA,ɑ
UW,uː
ER,ɜː
OY,ɔɪ
AA0,ɑ
AA1,ɑ
AA2,ɑ
AE0,æ
AE1,æ
AE2,æ
AH1,ʌ
AH2,ʌ
AO0,ɔ
AO1,ɔ
AO2,ɔ
AW0,aʊ
AW1,aʊ
AW2,aʊ
AY0,aɪ
AY1,aɪ
AY2,aɪ
EH0,ɛ
EH1,ɛ
EH2,ɛ
ER0,ə ɹ
ER1,ɜː
ER2,ɜː
EY0,eɪ
EY1,eɪ
EY2,eɪ
IH0,ɪ
IH1,ɪ
IH2,ɪ
IY0,iː
IY1,iː
IY2,iː
OW0,oʊ
OW1,oʊ
OW2,oʊ
OY0,ɔɪ
OY1,ɔɪ
OY2,ɔɪ
UH0,ʊ
UH1,ʊ
UH2,ʊ
UW0,uː
UW1,uː
UW2,uː
